time,tipPy_x,tipPy_y,tipPy_z,tipCpp_x,tipCpp_y,tipCpp_z
6.840000000000004965e-01,-6.625695277094376112e-02,-1.777903533031469419e+00,-3.473002059879755766e-05,-6.625930628177534309e-02,-1.777905602184151945e+00,-4.896815735623165139e-05
7.000000000000005107e-01,-1.510451346733175659e-01,-1.784843795519099663e+00,-9.426789561053000371e-05,-1.510480511887212773e-01,-1.784846068994693891e+00,-9.506217085777019838e-05
7.170000000000005258e-01,-2.426943262876900265e-01,-1.782234221780781835e+00,-1.627255079073355046e-04,-2.426977802182672672e-01,-1.782236539464481462e+00,-1.431723395939108845e-04
7.340000000000005409e-01,-3.335915801877764597e-01,-1.768310063122572107e+00,-2.246381257223742834e-04,-3.335953959212960007e-01,-1.768312249644194978e+00,-1.800071940986767332e-04
7.500000000000005551e-01,-4.161557363432972778e-01,-1.745073227397087923e+00,-2.696574637760148488e-04,-4.161596896799704126e-01,-1.745075181036006340e+00,-2.006172917408657528e-04
7.670000000000005702e-01,-4.986982698873235753e-01,-1.710986845787616950e+00,-3.008263212011799345e-04,-4.987021627984826178e-01,-1.710988505826572137e+00,-2.084159069489895046e-04
7.840000000000005853e-01,-5.746203734280068698e-01,-1.669342272957418549e+00,-3.122296756808698925e-04,-5.746240339591870416e-01,-1.669343674432606450e+00,-2.010906806171392685e-04
8.000000000000005995e-01,-6.395693652758718262e-01,-1.625370350079581083e+00,-3.013670578937938473e-04,-6.395727102075758896e-01,-1.625371592376257945e+00,-1.781542004537597674e-04
8.170000000000006146e-01,-7.017648438018152524e-01,-1.575672896618920182e+00,-2.656487722420992621e-04,-7.017678188491047742e-01,-1.575674068426204499e+00,-1.369729495103016179e-04
8.340000000000006297e-01,-7.574098791392723795e-01,-1.524699317747151284e+00,-2.086207259873925897e-04,-7.574124908623333097e-01,-1.524700501816081522e+00,-8.332815735576951327e-05
8.500000000000006439e-01,-8.043686098515892002e-01,-1.476826065933728671e+00,-1.415527575025022147e-04,-8.043708995650669102e-01,-1.476827315122443807e+00,-2.794198610783901662e-05
8.670000000000006590e-01,-8.491463292301474342e-01,-1.427077788233481526e+00,-6.283816999526134072e-05,-8.491483005190196831e-01,-1.427079144678254474e+00,2.993061162846719927e-05
8.840000000000006741e-01,-8.892800531937197217e-01,-1.379260836637306920e+00,1.735758263884525456e-05,-8.892817286102172591e-01,-1.379262327411799660e+00,8.218544285618515429e-05
9.000000000000006883e-01,-9.233421221053902395e-01,-1.336563870539035914e+00,8.882683907660850718e-05,-9.233435388263342425e-01,-1.336565506385136493e+00,1.229347753469998733e-04
9.170000000000007034e-01,-9.561039829607105300e-01,-1.294086563696283720e+00,1.545537388376613623e-04,-9.561051477119841824e-01,-1.294088371589512176e+00,1.538821829196856527e-04
9.340000000000007185e-01,-9.858049948550318131e-01,-1.254920894513295693e+00,2.035699248772389108e-04,-9.858059359032506075e-01,-1.254922893566140951e+00,1.686886807557353742e-04
9.500000000000007327e-01,-1.011340954834585526e+00,-1.221310178414372283e+00,2.295597634622178454e-04,-1.011341717450869648e+00,-1.221312374983805960e+00,1.654791460752884271e-04
9.670000000000007478e-01,-1.036249423169744110e+00,-1.189225958351773915e+00,2.324338012774766499e-04,-1.036250036962652832e+00,-1.189228384029237917e+00,1.428873203115047668e-04
9.840000000000007629e-01,-1.059167709580064676e+00,-1.161004380956947024e+00,2.088831087611765097e-04,-1.059168222069955201e+00,-1.161007056218673172e+00,1.015561010351203350e-04
1.000000000000000666e+00,-1.079146596296535421e+00,-1.138049727541160294e+00,1.639905836232917100e-04,-1.079147060186504525e+00,-1.138052655069213603e+00,4.812587308712737997e-05
1.016999999999998794e+00,-1.098874095322636357e+00,-1.117545340730181636e+00,9.570724905012315919e-05,-1.098874557571910771e+00,-1.117548553024374502e+00,-2.004565046594886026e-05
1.033999999999996922e+00,-1.117202173690092337e+00,-1.101073420066724262e+00,1.147288401639703264e-05,-1.117202682220482579e+00,-1.101076932341179981e+00,-9.503415820337466117e-05
1.049999999999995159e+00,-1.133263583148585329e+00,-1.089264188020608426e+00,-7.660693870278983367e-05,-1.133264172304978556e+00,-1.089267992637998672e+00,-1.670272730128228103e-04
1.066999999999993287e+00,-1.149116248954699770e+00,-1.080637662209474881e+00,-1.728231071494208551e-04,-1.149116952451032292e+00,-1.080641783897164920e+00,-2.398911761489004222e-04
1.083999999999991415e+00,-1.163726541482153820e+00,-1.076034318620159080e+00,-2.647012060460941394e-04,-1.163727374877921550e+00,-1.076038759399345679e+00,-3.040045542500894801e-04
1.099999999999989653e+00,-1.176309692087812664e+00,-1.075351676625720510e+00,-3.411149366632921761e-04,-1.176310647921186892e+00,-1.075356413315402992e+00,-3.523149472411083068e-04
1.116999999999987780e+00,-1.188362371465881306e+00,-1.078466286465807000e+00,-4.060074193564877990e-04,-1.188363442320547358e+00,-1.078471326053255908e+00,-3.874804333600396903e-04
1.133999999999985908e+00,-1.198937643553722676e+00,-1.085484692267070450e+00,-4.496838597024855081e-04,-1.198938798868760314e+00,-1.085490015789069895e+00,-4.037312704225430289e-04
1.149999999999984146e+00,-1.207393422979498920e+00,-1.095593916452549887e+00,-4.688685615679041548e-04,-1.207394618442756862e+00,-1.095599481804757414e+00,-4.009250678847677950e-04
1.166999999999982274e+00,-1.214588851357279120e+00,-1.109971357188966223e+00,-4.650077779499690671e-04,-1.214590038557056939e+00,-1.109977144480924327e+00,-3.791813719025632435e-04
1.183999999999980401e+00,-1.219695006195373743e+00,-1.127979718425794697e+00,-4.369491135502306944e-04,-1.219696127012709130e+00,-1.127985684282227563e+00,-3.398491220195592024e-04
1.199999999999978639e+00,-1.222328936876127203e+00,-1.148108380863940736e+00,-3.905815064170793660e-04,-1.222329940933956749e+00,-1.148114468148001333e+00,-2.893022776289119009e-04
1.216999999999976767e+00,-1.222499202182857569e+00,-1.172683235046390493e+00,-3.236903598561529185e-04,-1.222500026518250849e+00,-1.172689395871644669e+00,-2.247130368177578013e-04
1.233999999999974895e+00,-1.219591467638869275e+00,-1.200287598530122457e+00,-2.433717981928818375e-04,-1.219592059770070458e+00,-1.200293771034399049e+00,-1.530742089092882569e-04
1.249999999999973133e+00,-1.213674904374037800e+00,-1.228734643038096985e+00,-1.604773017943811678e-04,-1.213675236176561256e+00,-1.228740765509226174e+00,-8.328658094241078334e-05
1.266999999999971260e+00,-1.203598956771569473e+00,-1.261170014908062686e+00,-7.026468246872860114e-05,-1.203598974583580894e+00,-1.261176015280847107e+00,-1.097652178168401975e-05
1.283999999999969388e+00,-1.189198799128125206e+00,-1.295349798094219462e+00,1.639294648084744740e-05,-1.189198472411963303e+00,-1.295355601080466990e+00,5.523959836519065224e-05
1.299999999999967626e+00,-1.171350627912197462e+00,-1.328517349277301696e+00,8.981770019623263007e-05,-1.171349955886181737e+00,-1.328522892440055170e+00,1.086637680777333321e-04
1.316999999999965754e+00,-1.147553620795085383e+00,-1.364076100800571290e+00,1.547188926216979429e-04,-1.147552569235816389e+00,-1.364081284191054344e+00,1.531847668844366528e-04
1.333999999999963881e+00,-1.118668694244632889e+00,-1.399121294459515052e+00,2.024810746686797017e-04,-1.118667268085213440e+00,-1.399126030611399507e+00,1.830585603544058559e-04
1.349999999999962119e+00,-1.086946830555574728e+00,-1.430865419639381519e+00,2.293786197315371097e-04,-1.086945076670530863e+00,-1.430869660955430334e+00,1.965755458395833518e-04
1.366999999999960247e+00,-1.048797740829447989e+00,-1.462556426035596324e+00,2.371290723752962528e-04,-1.048795694151319013e+00,-1.462560082732407452e+00,1.946010406808665013e-04
1.383999999999958375e+00,-1.006692852660385107e+00,-1.491611347190779480e+00,2.226858282925415697e-04,-1.006690601477384206e+00,-1.491614391540318163e+00,1.754146929553082991e-04
1.399999999999956612e+00,-9.641629989068514206e-01,-1.516298816293748963e+00,1.892761519309628143e-04,-9.641606535038793613e-01,-1.516301294400278721e+00,1.420111950848819979e-04
1.416999999999954740e+00,-9.167030207911779360e-01,-1.539701658399306616e+00,1.347170265415636157e-04,-9.167006887253164038e-01,-1.539703581954041223e+00,9.175942811654235279e-05
1.433999999999952868e+00,-8.677021958043416028e-01,-1.560411356427794161e+00,6.407251956138973969e-05,-8.676999919208909784e-01,-1.560412802857523484e+00,2.910343624979968083e-05
1.449999999999951106e+00,-8.208204998568127131e-01,-1.577779023943047143e+00,-1.282196742212064798e-05,-8.208185104049040559e-01,-1.577780108798911396e+00,-3.776535595797925345e-05
1.466999999999949233e+00,-7.707633899143473410e-01,-1.594406440436917816e+00,-1.002526308006245593e-04,-7.707617123048934316e-01,-1.594407241117881568e+00,-1.128762877650951675e-04
1.483999999999947361e+00,-7.209148583718789638e-01,-1.609611205933951794e+00,-1.876456874585887902e-04,-7.209135617501611915e-01,-1.609611823642678186e+00,-1.872611350282496847e-04
1.499999999999945599e+00,-6.745164894405726308e-01,-1.623017244529054715e+00,-2.643963489372667974e-04,-6.745155984962456497e-01,-1.623017775022903120e+00,-2.520214889134272723e-04
1.516999999999943727e+00,-6.260364901524613224e-01,-1.636672342604327035e+00,-3.347317497645762208e-04,-6.260360659010483220e-01,-1.636672858515276552e+00,-3.107141818261493181e-04
1.533999999999941855e+00,-5.786145326007406942e-01,-1.650042634967059385e+00,-3.889241138192471234e-04,-5.786146000289724700e-01,-1.650043201763031764e+00,-3.551062256279840135e-04
1.549999999999940092e+00,-5.351050452482288833e-01,-1.662599284421453438e+00,-4.221421780822469990e-04,-5.351055895576650734e-01,-1.662599944107780559e+00,-3.812876645546518783e-04
1.566999999999938220e+00,-4.902045206010726131e-01,-1.676089126538174323e+00,-4.367310617093567984e-04,-4.902055799451487395e-01,-1.676089916516617651e+00,-3.910883852258744135e-04
1.583999999999936348e+00,-4.467885893861736069e-01,-1.689836862578296017e+00,-4.296543731154616125e-04,-4.467901672493814758e-01,-1.689837798548230463e+00,-3.821840556779851567e-04
1.599999999999934586e+00,-4.073723445889058103e-01,-1.703031648981056190e+00,-4.042548546252825391e-04,-4.073744095469359339e-01,-1.703032720966535019e+00,-3.577775984977397440e-04
1.616999999999932713e+00,-3.671075234699367473e-01,-1.717254549264821684e+00,-3.598416846058552542e-04,-3.671101006563884384e-01,-1.717255747197225624e+00,-3.171415658454412000e-04
1.633999999999930841e+00,-3.285672185962625891e-01,-1.731514903306726083e+00,-3.012487481532539211e-04,-3.285702968673469004e-01,-1.731516189949145357e+00,-2.648030741584431452e-04
1.649999999999929079e+00,-2.938976796662050028e-01,-1.744714277252656043e+00,-2.374271748920184992e-04,-2.939012115799511382e-01,-1.744715596309996508e+00,-2.087004909144895648e-04
1.666999999999927207e+00,-2.587495899800570376e-01,-1.758120205050339280e+00,-1.654498953337852686e-04,-2.587535722727842824e-01,-1.758121486675009226e+00,-1.462868870384259222e-04
1.683999999999925334e+00,-2.252521403716877535e-01,-1.770390776700031754e+00,-9.438908637744998606e-05,-2.252565204483668038e-01,-1.770391931062915258e+00,-8.547608610905633368e-05
1.699999999999923572e+00,-1.950584682532104930e-01,-1.780381481116611653e+00,-3.258043043653010423e-05,-1.950631492800274092e-01,-1.780382425397686319e+00,-3.320908719956272895e-05
1.716999999999921700e+00,-1.640809026889785971e-01,-1.788777128513014070e+00,2.430007676595364132e-05,-1.640857920555742200e-01,-1.788777757772435528e+00,1.444469125370004508e-05
1.733999999999919828e+00,-1.337758438682465911e-01,-1.794387782045624880e+00,7.001530835206253825e-05,-1.337807936735054826e-01,-1.794388025271370424e+00,5.260732252215761465e-05
1.749999999999918066e+00,-1.053408429646480599e-01,-1.796835713453349914e+00,1.019812412849350504e-04,-1.053456938851883296e-01,-1.796835567177775594e+00,7.947990170985439666e-05
